scientific_name,park_name,observations
Eupatorium serotinum,Great Smoky Mountains National Park,78
Ruellia caroliniensis ssp. caroliniensis var. caroliniensis,Great Smoky Mountains National Park,59
Epilobium howellii,Bryce National Park,85
Lepomis humilis,Yosemite National Park,133
Eupatorium sessilifolium,Bryce National Park,89
Muhlenbergia mexicana,Bryce National Park,97
Panax trifolius,Yosemite National Park,96
Clethrionomys gapperi gapperi,Great Smoky Mountains National Park,98
Ambloplites rupestris,Bryce National Park,95
Allium tricoccum,Yosemite National Park,184
Carex flaccosperma,Yellowstone National Park,229
Melothria pendula,Bryce National Park,97
Marah fabaceus,Yellowstone National Park,276
Carya laciniosa,Yellowstone National Park,221
Ranunculus muricatus,Yosemite National Park,128
Arabis lemmonii var. depauperata,Bryce National Park,102
Lindernia dubia var. dubia,Yellowstone National Park,243
Stephanomeria lactucina,Yosemite National Park,144
Juncus ensifolius,Bryce National Park,107
Populus angustifolia,Bryce National Park,96
Juncus hemiendytus var. abjectus,Yosemite National Park,129
Polygala senega var. latifolia,Yellowstone National Park,231
Chrysemys picta marginata,Bryce National Park,106
Maianthemum racemosum ssp. racemosum,Yosemite National Park,186
Lysimachia fraseri,Great Smoky Mountains National Park,80
Castor canadensis,Yosemite National Park,191
Cirsium vulgare,Yosemite National Park,146
Digitaria ciliaris,Great Smoky Mountains National Park,87
Plagiobothrys torreyi var. diffusus,Great Smoky Mountains National Park,49
Sambucus canadensis,Yellowstone National Park,274
Myriophyllum sibiricum,Bryce National Park,105
Oenothera fruticosa ssp. fruticosa,Yellowstone National Park,254
Castanea dentata,Bryce National Park,105
Fontinalis flaccida,Yellowstone National Park,263
Cercis occidentalis,Yellowstone National Park,249
Garrya fremontii,Yellowstone National Park,226
Veronica americana,Great Smoky Mountains National Park,33
Lactuca biennis,Bryce National Park,92
Trisetum canescens,Yosemite National Park,158
Ligusticum canbyi,Great Smoky Mountains National Park,90
Ammodramus leconteii,Bryce National Park,81
Ludwigia palustris,Yosemite National Park,157
Mimulus bicolor,Yosemite National Park,136
Lepidium virginicum var. pubescens,Yosemite National Park,137
Arctostaphylos viscida ssp. mariposa,Yellowstone National Park,256
Thalictrum occidentale,Yellowstone National Park,252
Plagiomnium carolinianum,Yosemite National Park,135
Viola rotundifolia,Great Smoky Mountains National Park,100
Hypnum imponens,Great Smoky Mountains National Park,87
Agrostis oregonensis,Yellowstone National Park,300
Gallinago gallinago,Yellowstone National Park,255
Carex raynoldsii,Yosemite National Park,164
Microtus pinetorum,Yosemite National Park,159
Poa fendleriana,Yosemite National Park,172
Moxostoma macrolepidotum,Yosemite National Park,146
Thaspium barbinode,Bryce National Park,110
Hypericum graveolens,Yosemite National Park,157
Hylotelephium telephium,Bryce National Park,111
Viola porterana,Great Smoky Mountains National Park,76
Acalypha rhomboidea,Yosemite National Park,144
Hieracium scouleri,Bryce National Park,110
Ictalurus furcatus,Bryce National Park,104
Megaceryle alcyon,Great Smoky Mountains National Park,70
Mertensia oblongifolia,Great Smoky Mountains National Park,99
Carex praticola,Great Smoky Mountains National Park,23
Prenanthes altissima,Great Smoky Mountains National Park,81
Crataegus macrosperma,Yosemite National Park,137
Carex atlantica,Yellowstone National Park,249
Triteleia laxa,Yellowstone National Park,290
Piranga ludoviciana,Yosemite National Park,162
Dichanthelium longiligulatum,Great Smoky Mountains National Park,76
Pylaisiella polyantha,Great Smoky Mountains National Park,126
Philadelphus sharpianus,Yellowstone National Park,241
Larus canus,Yellowstone National Park,250
Mimulus layneae,Great Smoky Mountains National Park,77
Carex debilis var. interjecta,Yosemite National Park,129
Agrostis oregonensis,Great Smoky Mountains National Park,74
Limnodromus scolopaceus,Bryce National Park,85
Diadophis punctatus edwardsii,Great Smoky Mountains National Park,61
Rhus copallina,Great Smoky Mountains National Park,70
Symphoricarpos oreophilus var. utahensis,Yosemite National Park,129
Charadrius vociferus,Yosemite National Park,161
Scolochloa festucacea,Yellowstone National Park,279
Eucephalus elegans,Bryce National Park,102
Acer platanoides,Yellowstone National Park,243
Aegolius acadicus,Yosemite National Park,91
Lapsana communis,Yosemite National Park,175
Adlumia fungosa,Bryce National Park,69
Panicum capillare,Yellowstone National Park,272
Grimmia laevigata,Yosemite National Park,171
Prenanthes serpentaria,Bryce National Park,108
Potentilla drummondii ssp. bruceae,Great Smoky Mountains National Park,131
Eriogonum wrightii var. trachygonum,Bryce National Park,101
Hieracium piloselloides,Yosemite National Park,117
Vireo philadelphicus,Yosemite National Park,152
Juncus macrandrus,Yellowstone National Park,253
Clematis terniflora,Great Smoky Mountains National Park,54
Juncus mexicanus,Bryce National Park,67
Lonicera japonica,Bryce National Park,103
Ceryle alcyon,Bryce National Park,97
Juncus dubius,Yosemite National Park,154
Ovis aries,Yosemite National Park,126
Crataegus mollis,Yosemite National Park,164
Triteleia hyacinthina,Bryce National Park,84
Penstemon canescens,Yosemite National Park,155
Amsinckia menziesii var. intermedia,Bryce National Park,125
Urtica dioica var. procera,Yellowstone National Park,220
Penstemon radicosus,Bryce National Park,96
Solidago speciosa var. speciosa,Yosemite National Park,119
Phragmites australis,Great Smoky Mountains National Park,103
Rhexia mariana var. mariana,Great Smoky Mountains National Park,87
Andropogon ternarius,Yellowstone National Park,217
Dicranum scoparium,Great Smoky Mountains National Park,82
Ameiurus natalis,Yosemite National Park,156
Saxifraga occidentalis,Bryce National Park,108
Festuca brachyphylla ssp. breviculmis,Great Smoky Mountains National Park,65
Vaccinium fuscatum,Yellowstone National Park,237
Fontinalis novae-angliae,Bryce National Park,79
Poa arida,Great Smoky Mountains National Park,36
Astragalus cibarius,Yosemite National Park,153
Lepus americanus,Yellowstone National Park,278
Galium parisiense,Bryce National Park,145
Xanthocephalus xanthocephalus,Yellowstone National Park,255
Chenopodium leptophyllum,Bryce National Park,97
Helenium bigelovii,Yosemite National Park,134
Ranunculus flammula,Yosemite National Park,133
Stellaria alsine,Bryce National Park,90
Monolepis nuttalliana,Great Smoky Mountains National Park,116
Scincella lateralis,Yosemite National Park,141
Erigeron glabellus var. glabellus,Yellowstone National Park,277
Lonicera flava,Yellowstone National Park,268
Lysimachia fraseri,Yosemite National Park,142
Crepis capillaris,Bryce National Park,116
Agrostis exarata,Yellowstone National Park,241
Oenothera biennis,Great Smoky Mountains National Park,65
Trichomanes boschianum,Yosemite National Park,163
Pterospora andromedea,Yellowstone National Park,262
Euonymus atropurpureus,Bryce National Park,94
Quiscalus quiscula,Yellowstone National Park,271
Chasmanthium laxum,Great Smoky Mountains National Park,64
Lemna trisulca,Bryce National Park,94
Regulus satrapa,Bryce National Park,117
Utricularia ochroleuca,Yosemite National Park,152
Potentilla anserina,Yosemite National Park,142
Potamogeton diversifolius,Great Smoky Mountains National Park,73
Gymnopogon ambiguus,Bryce National Park,93
Epilobium latifolium,Great Smoky Mountains National Park,73
Aralia racemosa,Bryce National Park,120
Mimulus viscidus,Bryce National Park,85
Lasiurus blossevillii,Yosemite National Park,123
Ranunculus flammula var. reptans,Yosemite National Park,168
Epilobium ciliatum,Great Smoky Mountains National Park,79
Delphinium tricorne,Yellowstone National Park,218
Sturnella magna,Great Smoky Mountains National Park,59
Collinsia tinctoria,Bryce National Park,78
Dodecatheon jeffreyi,Yellowstone National Park,225
Dichanthelium acuminatum var. fasciculatum,Yellowstone National Park,257
Hypericum hypericoides ssp. multicaule,Yellowstone National Park,259
Polygonatum biflorum var. commutatum,Bryce National Park,112
Bromus inermis var. pumpellianus,Great Smoky Mountains National Park,43
Ranunculus eschscholtzii var. oxynotus,Yellowstone National Park,263
Crataegus douglasii var. douglasii,Yellowstone National Park,282
Cephalozia connivens,Yellowstone National Park,230
Hydrangea cinerea,Yosemite National Park,143
Phoxinus oreas,Yellowstone National Park,252
Danthonia epilis,Yellowstone National Park,266
Frasera caroliniensis,Great Smoky Mountains National Park,62
Cryphaea nervosa,Bryce National Park,90
Rhizomnium magnifolium,Great Smoky Mountains National Park,37
Douglasia montana,Yellowstone National Park,236
Tephrosia spicata,Great Smoky Mountains National Park,74
Salix orestera,Bryce National Park,61
Sisyrinchium montanum,Great Smoky Mountains National Park,57
Eragrostis pilosa var. pilosa,Bryce National Park,92
Rhus typhina,Yosemite National Park,117
Trifolium incarnatum,Great Smoky Mountains National Park,78
Chaenactis douglasii var. douglasii,Yellowstone National Park,291
Satureja douglasii,Bryce National Park,100
Heuchera rubescens var. glandulosa,Yellowstone National Park,251
Downingia montana,Great Smoky Mountains National Park,64
Diadophis punctatus,Great Smoky Mountains National Park,49
Anomobryum filiforme,Bryce National Park,116
Nuphar lutea ssp. polysepala,Bryce National Park,93
Eriastrum sparsiflorum,Great Smoky Mountains National Park,86
Juncus longistylis,Bryce National Park,81
Thamnophis sirtalis fitchi,Bryce National Park,114
Achnatherum nevadense,Yosemite National Park,149
Phragmites australis,Yellowstone National Park,227
Platanthera ciliaris,Great Smoky Mountains National Park,52
Trautvetteria caroliniensis,Yellowstone National Park,254
Cannabis sativa,Bryce National Park,113
Hypericum anagalloides,Great Smoky Mountains National Park,92
Platanthera sparsiflora,Yellowstone National Park,236
Ranunculus parviflorus,Bryce National Park,80
Cryptogramma cascadensis,Bryce National Park,110
Hydrastis canadensis,Great Smoky Mountains National Park,79
Equisetum hyemale ssp. affine,Yellowstone National Park,266
Pectocarya pusilla,Yellowstone National Park,260
Bartonia paniculata ssp. paniculata,Bryce National Park,115
Tyto alba,Yellowstone National Park,247
Angelica triquinata,Great Smoky Mountains National Park,65
Pachysandra terminalis,Great Smoky Mountains National Park,52
Anas americana,Yellowstone National Park,224
Coronilla varia,Yosemite National Park,152
Ptychomitrium incurvum,Great Smoky Mountains National Park,59
Saxifraga odontoloma,Great Smoky Mountains National Park,78
Claytonia virginica,Yellowstone National Park,263
Rotala ramosior,Bryce National Park,120
Saxifraga tolmiei,Yellowstone National Park,254
Mahonia repens,Yosemite National Park,188
Polioptila caerulea,Yellowstone National Park,253
Dichanthelium longiligulatum,Yellowstone National Park,220
Geum macrophyllum var. perincisum,Great Smoky Mountains National Park,74
Eleocharis acicularis var. acicularis,Bryce National Park,46
Goodyera pubescens,Yosemite National Park,132
Ligusticum filicinum,Yellowstone National Park,236
Mimulus layneae,Bryce National Park,68
Marsilea vestita ssp. vestita,Yosemite National Park,141
Sphagnum pylaesii,Yosemite National Park,171
Melanerpes carolinus,Yellowstone National Park,247
Lomatium congdonii,Yellowstone National Park,217
Polygonum persicaria,Great Smoky Mountains National Park,73
Physalis virginiana,Yosemite National Park,150
Rorippa palustris ssp. palustris,Bryce National Park,77
Corallorrhiza odontorhiza,Yosemite National Park,139
Carex microptera,Yosemite National Park,186
Desmodium canescens,Bryce National Park,105
Dendroica virens,Great Smoky Mountains National Park,72
Epilobium torreyi,Yellowstone National Park,258
Thomomys bottae,Great Smoky Mountains National Park,83
Moxostoma macrolepidotum,Bryce National Park,81
Asarum canadense,Yosemite National Park,140
Nyssa sylvatica,Yellowstone National Park,264
Carex cephalophora,Yellowstone National Park,260
Poa pratensis,Yosemite National Park,158
Phalaris arundinacea,Yellowstone National Park,250
Packera streptanthifolia,Bryce National Park,114
Calochortus superbus,Yellowstone National Park,272
Isopterygiopsis muelleriana,Yosemite National Park,110
Capsella bursa-pastoris,Great Smoky Mountains National Park,62
Castilleja linariifolia,Yosemite National Park,129
Clarkia dudleyana,Yosemite National Park,195
Melilotus officinalis,Yosemite National Park,146
Nemophila parviflora var. austiniae,Bryce National Park,113
Lophocolea appalachiana,Great Smoky Mountains National Park,91
Ranunculus testiculatus,Bryce National Park,97
Oenothera elata ssp. hirsutissima,Great Smoky Mountains National Park,69
Calypogeja sphagnicola,Bryce National Park,109
Calypogeja sphagnicola,Great Smoky Mountains National Park,101
Juncus trifidus,Yosemite National Park,185
Galium bifolium,Great Smoky Mountains National Park,65
Ditrichum pusillum,Great Smoky Mountains National Park,98
Myiarchus cinerascens,Yellowstone National Park,260
Hulsea algida,Yellowstone National Park,226
Cardamine californica var. californica,Bryce National Park,117
Collinsia linearis,Yosemite National Park,130
Carex debilis var. interjecta,Bryce National Park,116
Myosurus apetalus var. borealis,Bryce National Park,127
Cornus florida,Bryce National Park,83
Ranunculus eschscholtzii var. eschscholtzii,Great Smoky Mountains National Park,90
Vaccinium parvifolium,Great Smoky Mountains National Park,89
Malaxis unifolia,Great Smoky Mountains National Park,56
Protonotaria citrea,Great Smoky Mountains National Park,32
Silene vulgaris,Great Smoky Mountains National Park,36
Calochortus albus,Bryce National Park,47
Phacelia ramosissima var. latifolia,Bryce National Park,85
Packera cana,Yosemite National Park,167
Sanicula trifoliata,Yellowstone National Park,277
Bartonia virginica,Great Smoky Mountains National Park,80
Phaeoceros laevis ssp. carolinianus,Bryce National Park,100
Rhododendron arborescens,Yosemite National Park,118
Goodyera oblongifolia,Great Smoky Mountains National Park,46
Hypochaeris glabra,Bryce National Park,101
Saxifraga nidifica var. nidifica,Yosemite National Park,138
Gavia immer,Bryce National Park,81
